concept_id,concept_from_alex_street,alternative_phrase,phrase_code
1556687907,aaa program,,5
2102296418,abbe gregoire,,1
3535891827,abdominal muscles,,4
1868264616,abolished,,5
2904097911,abolished imprisonment,,5
4215536353,abolitionists,,2
316308828,abortions,,4
4044239379,absence without pay,,4
269288785,absolute equality,,5
716939240,absolute right,,5
3781300254,abstained,,5
2707624154,abundant proof,,5
1528977854,abuse,,4
2599314495,accept equality,,5
3874417199,accident compensation,,5
402509701,accident compensation law,,5
1756082992,accident study,,5
2819382227,accumulated experience,,5
3836690350,achieve equality,,5
2326226798,acid test,,5
1939271752,acme art,,5
3352918125,acquire knowledge,,5
3460191855,acquire property,,5
1788963321,active campaign,,5
1862376042,active leader,,5
3700369667,active strike,,5
2631905149,active work,,5
3737586356,active worker,,5
1119245870,active workers,,3
1517000107,actual facts,,5
3311067025,ada young auxiliary,,1
1800992273,adding machine,,4
1227461531,adding machines,,5
1085917851,additional compensation,,5
3681460659,additional pay extra allowance,,5
1067218100,adequate compensation,,5
3161572218,adequate equipment,,5
314256833,adequate wages,,5
712054239,adjusted compensation,,5
3786475431,adjutant generals office,,2
550256819,administrations advocacy,,5
2540578396,administrative department,,2
1914378368,administrative departments,,4
3494913117,administrative duties,,5
2754316864,administrative officials,,2
2859393965,admissions committee,,4
3780067613,admit women,,5
2251808463,adopted resolution,,5
2355800196,adult men,,3
1091204144,adult woman,,3
362331940,adult women,,3
2538188526,adulterated,,5
265313834,adulterated foods drugs liquors,,4
312265255,adulterated products,,4
3796993082,adults wages,,4
3982442766,advanced radicals,,5
1189651516,advanced stunts,,5
1734406344,advisory opinions,,5
1512275047,affiliated societies,,5
2068407179,affirmative ballot,,5
3886293497,affluence,,4
449964680,afford protection,,5
2665433154,african king,,5
3224192620,african slavery,,4
598403679,afroamerican,afro-american,3
2598615213,afroamerican council,afro-american council,5
1501978605,afroamerican federation,afro-american federation,5
4201129416,afroamerican mother,afro-american mother,4
2505526223,afroamerican race,afro-american race,4
2036728383,afroamerican woman,afro-american woman,3
1895287109,afroamerican women,afro-american women,3
663075873,afroamericans,afro-americans,3
3409445469,agnes milton,,1
1621223390,agricultural adjustment administration,agricultural adjustment ad-ministration--,4
1245797912,agricultural adjustment program,,5
1060435242,agricultural conservation program,,5
1079678467,agricultural districts,,4
1502942306,agricultural institute,,5
3529705096,agriculture conservation conference,,5
545625343,aircraft divisions,,4
2657025949,aircraft mechanics,,4
267492776,airplane manufacturers,air-plane manufacturers,4
4273370194,alabama federation,,2
1168527868,alameda county league,,2
2258502661,albany board,,2
4089533717,albany office,,2
1152028556,alberta gude lynch,,1
3967733970,alcoholic liquors,,4
2374669163,alien child,,4
2258578037,alien enemy,,4
3012825920,alien husband,,5
768790690,alien husbands,,4
1734787647,alien immigrant,,4
2606149274,alien spouse,,4
4208561101,alien visitor,,5
1633230408,allasian womens conference,all-asian womens conference,5
3744649659,allow poisons,,4
3926282546,almighty god,,5
1862358051,alva belmont house,,1
3084781140,alva belmont house national headquarters,alva belmont house national head-quarters,2
3943161710,amanda smith school,,5
3172517125,amelioration,,5
44637674,amended act,,5
4034258955,amendment passed,,5
1270822882,american association,,5
2522081570,american bankers association,,4
1719696927,american bar association journal,,2
3928651786,american bar convention,,5
2983162748,american civilization,,5
3677775433,american congress,,2
2685417207,american delegates,,2
3386886438,american delegation,,2
1191355941,american economic system,,4
1976574946,american engineering standards committee,,2
2886198825,american families,,3
1261006999,american feminism,,5
2281839593,american food problem,,4
2272988628,american heiresses,,3
1067767792,american ideals,,5
2506036760,american law schools,,4
4154130826,american meat packers,,3
2593799823,american mission school,,5
2568595248,american mothers,,3
3648962572,american nationality,,4
4225027920,american naturalization,,5
3051413784,american negro,,3
2640144147,american negro academy,,5
663663418,american negro soldier,,3
2412959333,american negroes,,3
3022317226,american problem,,4
2236504483,american public opinion,,5
1299787071,american red cross society,,5
3729571853,american section,,2
2847229555,american woman nativeborn,american woman native-born,3
1418125244,american women dramatists,,3
1734466775,american women marry abroad,,4
616946300,american workwoman,,4
2916611406,americanborn woman,american-born woman,4
4237894421,americans believe,,5
1894346286,amount paid,,5
2812902514,anaheim school district,,4
2519369041,ancestors,,4
1984857407,ancient inequality,,4
2522633103,anglosaxon civilization,anglo-saxon civilization,4
812070936,animal fats,,4
2941160396,animal food,,4
97742595,anita pollitzer,,1
2424143133,anna kelton wiley,,1
3143429081,anna kusserow,,1
655932113,annie simms banks,,1
1153156386,annual cash prize,,5
2757361850,annual exercises,,5
3081665527,annual meetings,,2
789127268,anticaste,anti-caste,5
2403375262,antifeminist labor men,anti-feminist labor men,4
605574296,antifeminists,anti-feminists,5
525492366,antilynching bureau,anti-lynching bureau,5
1656763562,antislavery crusade,anti-slavery crusade,5
4289849196,antislavery movement,anti-slavery movement,5
4255394812,apartment houses,,5
1485790133,appeal made,,5
1419585870,appellate division,,2
1784160819,apply equally,,5
3319505104,appointed,,5
744160426,appointed teacher,,5
3812434089,appointing guardians,,5
2872712470,appointive system,,5
3550486317,appropriate exercises,,5
655664889,arbitration series,,5
4076133986,archibald h grimke,,1
2574205369,argentine member,,3
1641467965,argentine woman,,3
2394193749,arizona branch,,2
569056795,arizona delegation,,2
3183715364,arizona state committee,,2
1160499867,arkansas law,,4
3425521689,arms conference,,4
3839904744,army clothing,,4
3441139674,article xv,,5
2973144646,arts letters science industry,,4
57327951,asheville conference,,2
599015977,asian conference,,2
2210397721,ask women,,4
1156898995,assaults upon women,,4
584413534,assembly bill,,5
495173316,assembly chamber,,2
267122693,assembly labor committees,,5
3342466931,assembly room,,4
1134441265,assembly senate bill,,5
2512653601,assemblyman siracusa,,4
223983134,assemblyman swartz,,4
1763364398,assistant mistresses,,4
3789251637,assistant united states district attorney,,4
2242277587,associated charities,,5
3558031104,associated industries,,5
2929189538,association members,,2
1672881267,association men,,3
1311679052,association movement among colored men,,5
1717401412,association work among colored men,,5
1450298753,association workers,,4
3862002269,assure increased production,,5
1205340146,assyriology,,4
531606834,atlanta baptist seminary,,6
2612854000,atlanta conference,,2
212799041,atlanta exposition,,2
2733211548,atlanta university,,6
592576271,atlantic city business,,4
1831056098,atlantic seaboard states,,4
2220954848,atom bomb,,5
2263577179,attack upon unemployment,,4
2480961516,attend school,,5
3775625825,attended conference,,5
1682889724,attorneygeneral,attorney-general,2
2635671272,auction block,,4
579175204,auctionblock,auction-block,4
1334864285,australian commonwealth,,2
1825452445,australian federation,,2
1869334017,austrian ministry,,2
2789474726,austrian parliament,,2
2523971000,austrian womans party,,1
2146446746,austrian women,,3
2161616325,austrian womens movement,,5
581951274,authority,,4
2369165,authorized capital stock,,4
796054301,authors league,,5
1355172497,automobile industry,auto-mobile industry,4
4201577203,automobile trip,auto-mobile trip,5
3253165734,auxiliary members,,5
3752046549,average cost,,5
1947799743,average earnings,,5
2251331985,average expenditure,,5
2000989802,average negro politician,,4
7185234,average per capita income,,5
281440748,average per cent,,5
1220466,average percentage,,5
2346481096,average salary,,5
3428910779,average span,,5
312438636,average underclothed,,4
1191443626,average wage,,5
1932092697,average weekly expenditure,,5
3332362336,average weekly wage,,5
464320566,average white man,,4
1068243857,average woman,,3
170847281,aviation engineering school,,4
3001199938,back women,,5
76762653,backward races,,4
2370303215,bacon bill,,5
2571400332,bad hours,,4
1712331038,bad psychology,,4
1847491746,bakery laundry,,4
3468957259,bakery workers,,4
4121439219,bakeshops,bake-shops,4
3516949029,ballot privilege,,5
3309791500,baltimore branch,,2
221265280,baltimore business,,2
3411427510,baltimore city branch,,2
1058959702,baltimore conference,,2
4135106688,baltimore country club,,2
4073867007,baltimore county branch,,2
1299117764,baltimore federation,,2
3873132484,baltimore federationist,,2
147129673,baltimore league,,2
305685150,baltimore women,,3
1411059005,bands playing,,5
301357678,bank clerks,,3
3872543679,bank deposits,,4
1713909427,bank loans,,5
2950596234,bank officials,,4
2748531818,banking company,,5
2114231391,banner year,,5
3319080251,bar married women,,4
3964073219,bar women,,4
3323195490,bargain hunting,,5
1583525758,bargaining power,,5
1101732056,barley malt,,4
1495649070,barley malt hops,,4
4287800672,baron goto,baron go-to-,1
3988940884,basement bakeries,,4
328529493,basic hour day,,5
2667681090,basic necessity,,5
228968721,basic right,,5
2987899805,basic wage,,5
