concept_id,concept
1772431080,fourth quarter
3748249166,dick stuart
2170583175,brooding mystics
4127559818,phil g
1529854633,state adopting
1853815920,must keep
2832187805,comparison may
191156788,jerry lumpe
938695805,mean st
2538200358,since turned
176829034,ten concerts
2709286369,rising need
3492109188,die holders
2952741499,tremendously wise
1841017986,new ways
794231372,fine portrayal
2320692906,tommy rall
2646177453,one stage
2848682785,music move
3662932447,golden boy
3646581863,little wife
94546969,clayton nairne
2329675274,real authority
3877430196,explosion avoided
1353892957,idaho potatoes
2494841292,moving soberly
1043105218,personal equation
3700052781,capsule view
1035533413,saw stars
2347629782,weatherford insisted
2835225633,get hysterical
1226837192,choice item
1669143538,schooling costs
727163806,units combined
3261800187,least publicly
1355705620,huge build-
1210806811,pay fines
1886064486,editorial said
2348795432,interstate transportation
4229610690,eddy street
3947429688,home town
2588723968,sutherland revealed
4284412802,republican voters
516640493,low ridge
3006921258,principal added
2680698536,interested primarily
3208663857,presidential campaigns
2033460817,virtual abandonment
910372190,faculty advisers
1785040616,found beaming
1275567508,police car
4265419171,later find
1108046633,statistical one
1925769832,white admires
2483375707,late stages
215505058,james theater
6787390,new  king
2398077947,indelibly fixed
435862922,lola harris
3628238503,refreshing venture
302396637,riding slid
3893841365,summer months
716030728,much ahead
3999140197,salvador saw
2870628465,jean reavey
3611596339,nostalgic note
2279373085,richard beesemyers
4079839989,recommended reading
2349886486,must plan
3014338166,formally recognized
2134178830,central falls
2156792559,favorite dish
4211309093,student publications
50335042,qualities alone
4274353950,khrushchev turned
2569919150,normal amounts
4724351,private institution
4089212935,business staffs
3352354034,permanent recession
3954595910,miles respectively
710032062,reasonably economical
2215206820,major responsibility
1641582571,th man
2962464811,motor car
3707747190,charlie gauer
3630146164,scored times
1619968657,deep thinker
1758440346,two problems
3778931251,hardwicke-etter co
4292003060,plain talk
4170694432,ultimate responsibility
4110994484,real bonanza
893189324,new yorkers
376416472,never would
3967261360,dead issue
3056309089,bertha madeira
645002595,development projects
1862605366,locating tools
1257281091,new laurels
2110109978,planted acreage
