concept_id,concept_from_alex_street
2295370855,would continue
647669600,wisconsin feminists
1784160819,apply equally
662801959,law giving
3022082266,goucher council
2010565304,social reform
2094070723,record keeping
1320468874,sophonisba p
1763163267,racial welfare
4152032988,kitchen wall
3156385720,louis f
2898800389,individual workers
2724508728,check enclosed
1782095072,identification papers
1378468095,still eager
3135284153,economic burden
2323786229,sex warfare
2305276473,state would
3081658471,votes passed
3754043108,stettler case
219709257,hotel stafford
19753194,local authorities
1173335665,workers affected
2628882216,modal period
652044871,labor commissioner
448615297,lady macbeth
280156826,write home
3692911228,real life
3428759349,famous alumni
1676749325,arabian woman
921996863,editorial board
3076321423,labor union
991784598,thirteen women
768516279,valid exercise
198888821,painting trade
346264298,finally brought
928229159,ceremonial steps
1216640584,unity among
2766815099,study groups
223595106,negro defendant
1571740635,deplore lynching
1529674852,roberta j
113262258,international agreements
3145792072,poor people
3480661261,margaret lambie
2153791436,indispensable step
3209652592,prevent unemployment
1989872312,referee board
3235510721,may p
1070796513,annual session
793023035,rose tree
1087864895,new branch
3674043680,women judges
4287079071,said isabella
4121936577,white stockings
2625482978,conservative party
4101118396,labor leaders
2138086129,loan association
2974679992,honorary vice-president
4270958302,league press
1386495205,good excuse
4175311818,naturally asked
2200887771,drinking cup
1133837876,tuberculosis reported
3302127743,labor representation
980344438,per thousand
2806432980,could play
3206344456,westminster st
2169155921,publishing house
1064670403,would try
1590816835,sheldon jackson
1223384138,seventeenth century
2458553856,dexter otey
4174355821,work assigned
4176216326,elizabeth cady
2367511760,worthy profession
2380922737,criminal negro
327896937,lucy b
61180864,proposed legislation
3851559697,brought greetings
1591755252,unemployment crisis
3873603082,making gestures
1810879881,headquarters chairman
3634257536,quota limitations
4074862868,great war
557158246,enormous increase
426748505,good fortune
3625925240,name affixed
3982499479,speaks well
1887026967,international bodies
2550448331,physical examinations
3312554837,bill becomes
844014199,male delinquent
812337643,responsible head
1850885669,every form
1707917457,young friends
469601182,carry water
2876640756,thought probably
1487134196,thoughts traveled
565879862,alice dunbar-nelson
