,concept_from_alex_street,phrase_code
21045,aaa program,5
23310,abbe gregoire,1
16370,abdominal muscles,4
5746,abolished,5
22447,abolished imprisonment,5
10114,abolitionists,2
8687,abortions,4
22589,absence without pay,4
19183,absolute equality,5
16618,absolute right,5
2176,abstained,5
22490,abundant proof,5
5398,abuse,4
21661,accept equality,5
17949,accident compensation,5
24165,accident compensation law,5
21831,accident study,5
18756,accumulated experience,5
16137,achieve equality,5
15999,acid test,5
22410,acme art,5
14415,acquire knowledge,5
13299,acquire property,5
16883,active campaign,5
15764,active leader,5
21491,active strike,5
15287,active work,5
18288,active worker,5
20347,active workers,3
19049,actual facts,5
26203,ada young auxiliary,1
17108,adding machine,4
20460,adding machines,5
16778,additional compensation,5
25521,additional pay extra allowance,5
19051,adequate compensation,5
19811,adequate equipment,5
22196,adequate wages,5
20768,adjusted compensation,5
16971,adjutant generals office,2
22731,administrations advocacy,5
15527,administrative department,2
17209,administrative departments,4
14515,administrative duties,5
16265,administrative officials,2
18107,admissions committee,4
15780,admit women,5
13554,adopted resolution,5
14851,adult men,3
17418,adult woman,3
15215,adult women,3
13982,adulterated,5
26211,adulterated foods drugs liquors,4
22086,adulterated products,4
20790,adults wages,4
21022,advanced radicals,5
23798,advanced stunts,5
18466,advisory opinions,5
18445,affiliated societies,5
23120,affirmative ballot,5
2410,affluence,4
17864,afford protection,5
18762,african king,5
16642,african slavery,4
17961,afroamerican,3
26559,afroamerican council,5
26659,afroamerican federation,5
25586,afroamerican mother,4
26041,afroamerican race,4
24842,afroamerican woman,3
24827,afroamerican women,3
19074,afroamericans,3
23820,agnes milton,1
19607,agricultural adjustment administration,4
24228,agricultural adjustment program,5
22810,agricultural conservation program,5
19772,agricultural districts,4
14839,agricultural institute,5
24463,agriculture conservation conference,5
15199,aircraft divisions,4
18566,aircraft mechanics,4
18826,airplane manufacturers,4
21055,alabama federation,2
23191,alameda county league,2
20872,albany board,2
20432,albany office,2
24853,alberta gude lynch,1
17569,alcoholic liquors,4
20043,alien child,4
19458,alien enemy,4
22946,alien husband,5
22813,alien husbands,4
21096,alien immigrant,4
22596,alien spouse,4
19202,alien visitor,5
26139,allasian womens conference,5
23785,allow poisons,4
14949,almighty god,5
24258,alva belmont house,1
26099,alva belmont house national headquarters,2
24619,amanda smith school,5
14231,amelioration,5
17079,amended act,5
14309,amendment passed,5
5488,american association,5
18229,american bankers association,4
17940,american bar association journal,2
24175,american bar convention,5
16006,american civilization,5
13693,american congress,2
16347,american delegates,2
16552,american delegation,2
19606,american economic system,4
24113,american engineering standards committee,2
13702,american families,3
14364,american feminism,5
24846,american food problem,4
15748,american heiresses,3
15484,american ideals,5
16988,american law schools,4
23640,american meat packers,3
21652,american mission school,5
18676,american mothers,3
14903,american nationality,4
21619,american naturalization,5
15051,american negro,3
21017,american negro academy,5
23252,american negro soldier,3
18854,american negroes,3
18785,american problem,4
17348,american public opinion,5
24230,american red cross society,5
16443,american section,2
25628,american woman nativeborn,3
23638,american women dramatists,3
26752,american women marry abroad,4
22977,american workwoman,4
24749,americanborn woman,4
15675,americans believe,5
14897,amount paid,5
22869,anaheim school district,4
6060,ancestors,4
23906,ancient inequality,4
26562,anglosaxon civilization,4
15060,animal fats,4
14807,animal food,4
22643,anita pollitzer,1
23688,anna kelton wiley,1
26231,anna kusserow,1
23957,annie simms banks,1
22829,annual cash prize,5
16889,annual exercises,5
13549,annual meetings,2
15937,anticaste,5
25458,antifeminist labor men,4
17584,antifeminists,5
26564,antilynching bureau,5
23141,antislavery crusade,5
19205,antislavery movement,5
15799,apartment houses,5
15247,appeal made,5
14226,appellate division,2
18013,apply equally,5
1427,appointed,5
16817,appointed teacher,5
23972,appointing guardians,5
24541,appointive system,5
20941,appropriate exercises,5
23642,arbitration series,5
23021,archibald h grimke,1
19454,argentine member,3
17775,argentine woman,3
20978,arizona branch,2
21781,arizona delegation,2
23512,arizona state committee,2
18354,arkansas law,4
20366,arms conference,4
20281,army clothing,4
14271,article xv,5
25500,arts letters science industry,4
22262,asheville conference,2
16249,asian conference,2
20120,ask women,4
22986,assaults upon women,4
14833,assembly bill,5
17468,assembly chamber,2
24396,assembly labor committees,5
16531,assembly room,4
17707,assembly senate bill,5
24178,assemblyman siracusa,4
24793,assemblyman swartz,4
22565,assistant mistresses,4
21945,assistant united states district attorney,4
19727,associated charities,5
16811,associated industries,5
13561,association members,2
15795,association men,3
25919,association movement among colored men,5
25916,association work among colored men,5
19073,association workers,4
24841,assure increased production,5
16104,assyriology,4
22192,atlanta baptist seminary,6
20305,atlanta conference,2
20875,atlanta exposition,2
14595,atlanta university,6
23952,atlantic city business,4
23476,atlantic seaboard states,4
15084,atom bomb,5
26396,attack upon unemployment,4
10558,attend school,5
14547,attended conference,5
18351,attorneygeneral,2
15325,auction block,4
25692,auctionblock,4
14542,australian commonwealth,2
14025,australian federation,2
16499,austrian ministry,2
16261,austrian parliament,2
26366,austrian womans party,1
17675,austrian women,3
22998,austrian womens movement,5
144,authority,4
21584,authorized capital stock,4
19495,authors league,5
13519,automobile industry,4
20508,automobile trip,5
19311,auxiliary members,5
14300,average cost,5
15579,average earnings,5
19616,average expenditure,5
26792,average negro politician,4
19200,average per capita income,5
20708,average per cent,5
16974,average percentage,5
13918,average salary,5
16578,average span,5
25718,average underclothed,4
14501,average wage,5
24578,average weekly expenditure,5
16577,average weekly wage,5
23074,average white man,4
17974,average woman,3
22454,aviation engineering school,4
18726,back women,5
22815,backward races,4
21007,bacon bill,5
23647,bad hours,4
23379,bad psychology,4
22309,bakery laundry,4
21374,bakery workers,4
18177,bakeshops,4
25371,ballot privilege,5
20939,baltimore branch,2
16842,baltimore business,2
23099,baltimore city branch,2
20170,baltimore conference,2
21172,baltimore country club,2
24041,baltimore county branch,2
23533,baltimore federation,2
25794,baltimore federationist,2
19063,baltimore league,2
21697,baltimore women,3
15663,bands playing,5
14982,bank clerks,3
15364,bank deposits,4
14820,bank loans,5
17933,bank officials,4
15014,banking company,5
16188,banner year,5
24109,bar married women,4
19077,bar women,4
20645,bargain hunting,5
15662,bargaining power,5
18728,barley malt,4
22732,barley malt hops,4
23389,baron goto,1
25088,basement bakeries,4
24444,basic hour day,5
19142,basic necessity,5
15769,basic right,5
16226,basic wage,5
13958,bath house,5
24296,bath palaces,4
17314,bathing suits,4
1271,battle,4
14165,bear arms,5
14101,bear witness,5
22197,become economically independent,5
15476,becomes naturalized,5
25854,becoming literature conscious,5
20986,beet fields,4
21123,beginning salary,5
19549,beginning wage,5
18746,belgian women,3
15848,belgrade university,6
16878,berne convention,2
25609,best editorial essay,5
15244,bethel church,6
24862,bethunecookman college,6
18959,better citizen,5
13248,better conditions,5
14611,better education,5
23610,better feminists,5
15894,better homes,5
18216,better qualified,5
23287,betty gram,1
17333,bible class,4
21315,bible conferences,5
21436,bible institutes,5
13762,bible study,5
7228,biblical,4
22965,big niggers,4
19356,bill regulating,5
16219,bills introduced,5
18178,bing law,5
21361,biological relation,4
24461,bipartisan civil service commission,5
11843,birth control,5
24047,birth registration area,5
23859,biscuit watch,4
24235,bishop b f lee,1
1394,bitter,4
16532,black belts,4
14775,black boy,4
21112,black mammy,4
17101,black regiment,3
19377,black virgin,4
23198,blanche tyler,1
14446,blind people,3
21124,blood forming organs,4
18748,bloodless revolution,5
15216,bloody war,4
25719,board fixing wages,5
15011,board meetings,2
19817,boarding home,5
1261,body,4
14401,body politic,5
19019,bohemian history,5
19480,book peddler,4
14377,bookbinders,3
15567,bookshelves,5
15603,born abroad,4
13963,born free,5
13983,borrow money,5
19037,boston conference,2
20893,boston papers,2
16015,box car,4
25956,box car school,5
20825,boy problem,4
19423,boyle bill,5
25978,boys new dormitory,4
19724,boys organization,5
17440,brain power,5
25819,brainworking occupations,4
25818,brainworking professions,4
19605,branch association,2
23791,branch leagues,2
15556,brave men,3
19515,brazilian citizens,3
18142,brazilian minister,2
17875,bread line,4
19345,bread lines,5
14084,breadwinner,3
14082,breadwinners,3
6487,breasts,4
20926,breeding places,4
24314,british advisory group,5
18731,british chambers,2
16561,british civil service,2
17892,british custom,4
16271,british delegation,2
16712,british elections,2
17614,british empire exhibition,2
13676,british ministry,2
17923,british nation,4
19296,british proposal,5
18736,british quota,5
16368,british section,2
14012,british woman,3
16463,broad powers,5
20869,brooklyn chamber,2
25654,brooklyn rapid transit womens league,1
23900,brother olmstead,1
15310,brought suit,5
13852,bryn mawr college,6
22126,bryn mawr summer school,5
18228,bucket brigade,4
15432,building owners,4
24483,bulky foods,4
20152,bureaucratic control,2
22610,burning injustice,4
20299,burnt sugar,4
17680,business course,5
21451,business depression,4
14269,business meeting,2
16314,business meetings,2
14319,business woman,3
15451,business women,3
23878,business womens council,5
24292,business womens legislative council,1
20364,buttered bread,4
20220,button sale,2
20507,buy candy,5
26189,buy cheap candy,4
14881,buy food,5
17320,buy homes,5
18090,buying food,5
16487,buying power,5
19921,cable act,5
19333,cable bill,5
21954,cable law,5
22736,cable rooms,5
19083,calculating machines,4
21821,calendar club,5
17358,california branch,2
15971,california business,4
25055,california eighthour law,5
14678,california federation,2
22188,california state federation,2
15377,california women,3
24840,california women workers,3
1643,campaign,5
1641,campaigns,5
18161,canadian representative,2
21475,cancelled checks,4
19713,candy business,4
22744,candy factories,4
17514,candy factory,4
20012,candy industry,4
24119,candy investigation,5
18973,candy manufacture,4
18797,candy manufacturer,4
19542,candy manufacturers,4
20274,candy men,4
21295,candy people,4
23540,candy report,4
23588,candy study,5
24814,candy wage board,5
25251,candy white list,5
17326,candy work,4
23479,candy workers,4
18319,candymakers,4
13545,canneries,4
26327,canning codes,4
23547,canning establishments,4
18837,canning industry,4
21353,canning preserving,4
14726,cannot read,4
21129,canteen service,4
17558,capitalist countries,4
9115,capitalists,4
22896,captain haldeman,1
22089,captive race,4
20102,card bearing,5
18616,caretakers cottage,5
23556,carlton ymca,2
24647,carmela ponselle,1
16088,carnegie tech,6
24685,carpe diem club,1
21074,carpet sweeper,4
15370,carpetbaggers,4
20745,carry insurance,5
19137,case workers,5
17116,casey bill,5
14218,cash payment,5
19164,cash receipts,5
14451,cash registers,5
17525,cash value,5
20764,caste prejudice,4
22416,caste school,4
15837,catholic women,3
25109,catholic young women,3
24414,cellar bakeries,4
14956,centennial exposition,2
14051,central executive committee,2
23154,central regional association,2
25403,cents per day per capita,5
18224,cents per hour,5
16057,certain provisions,5
23700,certificating children,5
23345,ceylon women,3
13408,ceylonese,4
24944,ceylonese women,3
26654,chain store competition,4
24567,chain store organization,4
26652,chain store problem,4
26653,chain store unit,4
18247,chain unit,5
21807,chairman dewson,2
22257,chairman eaton,4
25095,chairman mr theodore b pierce,4
19893,chamber floor,2
14239,chambermaids,3
25791,chambermaidwaitress,4
14378,changing conditions,4
16390,character building,5
14769,charitable institution,5
15758,charitable institutions,5
18449,charity organization society,5
12057,chastity,5
3959,chattels,4
15709,cheap labor,4
15850,cheese factory,4
16019,chemical work,5
16597,cheshire cat,4
19076,chicago musical college,6
17197,chicken farm,4
15983,chief examiner,5
24265,chief labor inspector,5
21292,chief mediator,4
22308,child born abroad,4
11580,child care,5
18601,child department,5
21382,child hygiene,4
21914,child labor amendment,5
23804,child labor association,5
25156,child labor bill drafted,99
19816,child labor committee,5
20333,child labor law,5
17404,child labor laws,5
22299,child labor legislation,5
18048,child laborers,4
14399,child marriage,4
16632,child study,5
25219,child wageearners,3
12763,child welfare,4
22489,child welfare division,5
23754,child welfare exhibit,5
21077,child welfare work,5
10675,childbirth,4
25027,childbirth convention,5
16335,childhood days,4
19878,childless widows,3
20682,children born abroad,4
26159,children careless parents,4
18194,children employed,4
24067,children illegally employed,4
17650,children injured,4
20002,children wages,4
13550,children work,4
15867,children working,4
25965,childrens aid allowances,5
22142,childrens amendment,5
17982,childrens bureau,5
18528,childrens club,5
23743,childrens compensation,5
13356,childrens home,5
14456,childrens services,5
24263,childrens wearing apparel,4
23396,childs estate,4
21862,childs problem,4
23439,childs services,4
20446,childs welfare,4
21791,chilean delegation,4
25944,chilean law court,2
18838,chilean women,3
14488,chinese students,3
13577,chinese women,3
22247,chip school,6
23735,chip schools,5
17868,chocolate manufacture,4
15436,choir stalls,5
20287,choose freely,5
22816,christian agencies,5
23406,christian association work,5
14749,christian center,5
13375,christian education,5
13844,christian fellowship,5
16771,christian ideals,5
18447,christian institutions,5
9479,christian leader,2
15041,christian leadership,5
16231,christian principle,5
16373,christian principles,5
19383,christian recorder,2
20399,christian register,2
9928,christian science,4
10163,christian science monitor,2
16161,christian service,5
16196,christian women,3
13557,christian work,5
5727,christians,3
25396,christlike living,5
16535,christmas shopping,5
24555,chrysanthemum club,1
14830,church membership,5
15046,church people,2
17190,church women,3
19870,cigar factories,4
21137,cigarmaking,4
21586,cincinnati branch,2
19145,cincinnati league,2
24925,citizen wives organization,1
14426,citizens committee,5
20679,citizenship department,5
18275,citizenship laws,5
15903,citizenship rights,5
22710,citizenship upon marriage,5
14342,city association,2
20890,city associations,2
13738,city committee,2
15851,city conference,2
14487,city dweller,3
19013,city federation,5
24516,city federation president,2
19042,city health department,5
17469,city magistrate,2
21289,city registration,5
22528,city service commission,5
15473,city treasurer,2
14276,city wards,2
21158,civic betterment,5
22729,civic department,5
17765,civic movements,5
14659,civic organizations,5
20906,civic repertory theatre,2
16962,civic rights,5
17552,civic work,5
15043,civil actions,5
13548,civil cases,5
13352,civil code,5
14087,civil life,5
20920,civil relationships,5
15037,civil service commission,5
17855,civil service commissioner,2
25446,civil service commissionership,5
23421,civil service rights,5
20902,civil service status,5
22678,civil service women,3
23991,civil shackles,4
15788,civil status,5
18436,civil works administration,5
16267,civilized world,5
22828,claim american citizenship,5
22613,clara white mission,1
25368,clarice gooding,1
14741,class conflict,4
21302,class legislation,5
23759,class room teachers,3
25810,class room teachers supervised,5
13441,class women,4
18517,classed women,3
20245,classification act,5
19181,clean government,5
20490,clean politics,5
15161,clerical work,4
19243,clerks association,5
18574,cleveland journal,2
19409,clinic care,5
20160,clinic visits,4
23620,cloak department,4
18844,closing hours,5
19972,clothing factories,4
20761,clothing industries,4
16530,clothing industry,4
18563,club church,5
22745,club circles,5
13634,club colors,2
24373,club femenino de cuba,1
23819,club house fund,2
14442,club life,5
16979,club meetings,2
17134,club movement,5
16276,club room,5
18519,club spirit,5
23414,clubs societies associations,1
16431,coal field,4
24011,coalheaving,4
14524,coast tour,5
19964,coast tribes,4
23286,cochrane olive,1
14914,cocoa bean,4
17192,code adopted,5
18541,code provisions,5
23674,codes approved,5
23127,codify international law,5
3136,coeducational,5
14686,coeducational college,5
15096,cohesiveness,5
20413,collect damages,5
21801,collect facts,5
13595,collect information,5
15746,collective farm,5
16746,collective farms,5
23997,collective noun man,4
16229,collective rights,5
581,college,4
24142,college alumnae club,1
21688,college attitude,5
18815,college chair,4
25127,college club reports,2
15141,college course,5
20044,college curricula,4
15515,college degrees,5
10290,college education,5
19336,college extension,5
17066,college fraternities,4
17496,college fraternity,4
14211,college girls,3
16968,college league,5
21037,college leagues,5
15599,college professors,3
22783,college settlements association,5
19292,colonel thompson,4
17600,colonial assembly,4
14777,colonial service,4
7846,colonists,4
16021,colonization society,5
20233,color attendance,4
16095,color blind,5
22426,color question,4
19300,color table,4
20241,colorado branch,2
22145,colorado pageant,5
23276,colorado springs convention,2
23240,colored associations,5
20343,colored boy,3
20942,colored boys,3
20778,colored branch,5
21740,colored branches,5
18434,colored children,3
19418,colored church,5
22612,colored churches,5
19106,colored citizens,3
26009,colored city work,4
24857,colored club women,2
24128,colored colleges,5
23093,colored conference,5
25661,colored death rates,4
23616,colored delegates,2
22054,colored department,5
20558,colored girl,3
16709,colored girls,3
21198,colored graduate,3
21229,colored graduates,5
19351,colored high school,4
23914,colored institutions,4
23786,colored inventor,4
22150,colored labor,3
24207,colored leadership,5
16198,colored man,3
21901,colored member,4
17634,colored men,3
25576,colored men upon white women,5
25909,colored mens department,4
23971,colored minister,2
23229,colored ministers,3
21197,colored nurses,3
22063,colored parents,3
22365,colored passengers,3
20256,colored person,3
18942,colored population,3
23098,colored preacher,5
17325,colored race,4
24226,colored representatives,2
16685,colored school,5
19635,colored schools,5
24237,colored secretaries,4
19877,colored soldiers,3
26008,colored student conference,5
26012,colored student work,5
19803,colored students,3
26023,colored subcommittee,2
23881,colored suffragists,5
25599,colored superintendent,5
20919,colored teachers,3
19544,colored woman,3
25287,colored womans suffrage club,1
17560,colored women,3
26442,colored women convened,1
26198,colored women inc,5
23778,colored women member,3
26004,colored women students,3
23237,colored women voters,3
24788,colored women working,5
26229,colored womens council,2
25565,colored womens national league,1
19191,colored work,4
26002,colored work budget,5
26003,colored work committee,5
26000,colored work staff,4
21592,colored workers,3
22470,colored ymca,5
23739,colored young men,3
26017,colored young women,3
17904,colored youth,3
19047,columbia branch,2
19185,columbia case,4
18912,columbia federation,2
13537,columbia law school,6
25249,columbia minimum wage bill,5
16606,columbia teachers,3
21959,comfort kits,5
18205,coming election,5
15949,commencement exercises,5
13379,commensurate,5
16158,commerce building,4
14384,commerce department,4
22324,commercial elevator,4
16004,commercial high school,5
24988,commercial stimulus,5
23011,commercialized vice,4
21891,commissarys office,2
14545,commission created,5
21046,commissioner harris,4
19428,commissioner smith,2
23181,commit prostitution,4
17166,committee room,5
19584,common gender,5
24646,common law disabilities,5
19110,common law rule,5
15643,common life,5
16269,common program,5
16211,common property,5
20115,common prostitutes,4
16189,common purpose,5
15558,common standard,5
19974,common welfare,5
22914,commonlaw wife,5
19220,communal elections,5
6405,communist party,1
808,community,5
26158,community betterment clubs,1
17061,community chest,5
16982,community chests,5
19176,community demand,5
18943,community fair,5
21204,community income,5
25315,community personal property,5
17022,community property,5
21935,community property law,5
22760,community property system,5
26639,community property vested,5
26638,community property vests,5
22068,community real estate,5
9600,community service,5
13945,community system,5
26554,communs outbuildings,4
21062,companionate marriage,5
18663,companys store,4
23382,comparative retirement,5
22061,compensation department,5
18511,compensation law,5
19844,compensation laws,5
14822,competitive class,5
15102,competitive examination,5
20685,competitive society,4
23877,complete amendment,5
19745,complete disarmament,5
20824,complete emancipation,5
18284,complete equality,5
15275,complete freedom,5
13579,compulsory education,5
21176,compulsory education law,5
21559,compulsory education laws,5
20777,compulsory examination,5
26399,compulsory jury service,5
16000,comradeship,5
16617,concealed weapons,4
21766,concord baptist church,6
15492,concurrent resolution,5
20189,condemnation proceedings,5
24941,conductorless symphony orchestra,5
19539,confectionery store,4
7435,confederacy,4
15544,conference program,2
15122,conference report,2
16183,congress campaign,5
21371,congressional chairman,2
20459,congressional program,5
20109,congressman anthony,4
19304,connecticut branch,2
17744,connecticut league,2
24384,connecticut state branch,2
813,consent,5
23693,consequent neglect,4
15169,conservation program,5
2391,conservatism,4
6655,conservative party,1
19247,consolidated bank,4
23520,constant incentive,5
22317,constituent leagues,2
4151,constitution,5
22155,constitutional amendment granting,5
16356,constitutional guarantees,5
13564,constitutional right,5
13869,consultative committee,5
18870,consumees league,99
21841,consumer representation,5
24879,consumers league bulletin,2
24212,consumers league label,5
25183,consumers league work,4
23197,consumers leagues,1
26069,consumers leagues members,2
16961,consumers power,5
15086,consumers research,5
19760,consuming public,5
19503,consummate skill,5
14730,contagious disease,4
14732,contagious diseases,4
19628,contagious diseases acts,5
20587,contemporary conditions,5
21867,continuation committee,5
16705,continuation school,5
20389,continuation schools,5
16338,contracting parties,2
16598,contribute money,5
24297,contributions checks,4
26772,convention banning night work,4
25581,convention finance committee,2
18420,convict labor,4
20492,convict lease system,4
13481,cookmaid,3
13749,cooper union,2
17861,cooperative commonwealth,5
15560,cooperative effort,5
21769,cooperative home,5
16081,coöperative movement,5
24920,copelanddickstein bill,5
25749,corner bakeshop,4
20065,corner grocer,4
23448,correct evils,5
19526,correspondence committee,2
16953,corresponding secretary,2
19993,cosmopolitan society,5
23270,cotton exhibit,5
16177,cotton fields,4
14799,cotton industry,4
22066,cotton linters,4
14387,cotton mills,4
24412,cotton textile institute,4
25104,cottontextile institute,4
19971,couldnt breath,4
17971,couldnt read,5
13409,counteroffensive,5
16041,country church,6
18280,country committee,2
19897,country communities,4
15076,country women,3
13712,countrys history,5
15040,county charter,5
19302,county conventions,5
14544,county recorder,2
15718,county superintendent,2
15696,county superintendents,2
19362,county training school,5
19978,courageous women,5
14331,court action,5
15290,court room,5
20487,courtmartialed,4
20386,courts executive,4
15541,cowlicks,4
20644,crafts exhibit,5
20088,crazy jane,5
20810,create monopolies,4
15725,created equal,5
17285,created free,5
15876,creative life,5
18454,credentials committee,5
17865,credit department,2
21083,credit merchants,4
18506,credit purchase,5
18464,credit purchases,5
14715,credit system,5
18953,creole music,5
14847,criminal courts,5
14198,criminal division,5
25035,criminal element among negroes,4
23214,crowded city streets,4
20511,cuban patriot,3
22870,cuban voters,3
19286,cuban woman,3
18698,cuban women,3
20064,cultural atmosphere,5
18167,cultural level,5
14097,culture club,5
19322,cultured persons,5
14953,current knowledge,5
20506,custody services,5
19755,customs commissioners,5
20217,customs district,5
16311,cut prices,5
23672,cyclical depression,4
20662,czechosiovakia women,3
22091,czechoslovak immigrants,3
15790,daily bread,5
17291,daily capital,5
17130,daily hours,5
15791,daily oklahoman,2
14693,daily paper,2
16835,daily papers,2
20180,daily rounds,4
24005,daily vacation bible school,5
23438,dairy departments,4
19646,dangerous occupations,4
20780,dangerous policy,4
17461,dangerous substance,4
19320,darker hue,4
21233,darker races,4
18138,davis home,5
19612,day nurseries,5
16542,day nursery,5
24331,day without injury,5
16233,day worker,3
17202,day workers,4
22911,daytona normal,5
23409,dean gillett,4
24289,dean slowe,4
15789,death mask,4
9803,death penalty,4
13439,death rates,4
19903,decent conditions,5
18075,decent living,5
22183,decent standards,5
14889,declared unconstitutional,5
16029,decollete,4
1835,defense,4
20142,delaware branch,2
22215,delaware delegation,2
26320,delaware quota consumers league,1
25003,delaware state branch,2
26443,delaware state federation,1
4054,delegated,2
26007,delegates representing schools,2
17727,deliberate policy,5
25163,delicate little children,4
23789,delicate satire,5
19907,delinquent boys,4
24861,delinquent colored girls,3
20371,delinquent girls,4
22735,delinquent home,5
26152,delinquent negro girls,4
19705,delivery boys,4
18036,demand equality,5
5011,democracy,5
17075,democratic country,5
14707,democratic leaders,4
14493,democratic ticket,5
17718,democratic women,3
23336,denied naturalization,4
16275,dental council,5
25705,dental womans club,1
16120,dependent children,3
23745,dependent girls,4
19827,dependent people,4
24249,deplore lynching,5
17535,deportation order,5
24999,deprecate domestic service,4
24012,deputy chief librarian,4
17100,desert sands,4
20441,desmond bill,5
18767,desperately ill,4
25830,desperately prowoman,5
1025,destitute,4
23837,destructive legislation,4
13513,detailed study,5
2016,detention,4
19088,detention home,4
20917,detroit association,2
20060,detroit branch,2
20744,detroit conference,2
21970,detroit federation,2
26186,detroit housewives league,1
23321,detroit study club,1
13342,devoted wife,3
14366,devout christian,3
14557,different nationalities,5
21669,director schofield,4
18410,dirt floor,4
25067,dirty bakeries,4
23381,dirty milk,4
8016,disabilities,4
7826,disability,4
23025,disabling accidents,4
25150,discharge married women,4
25116,discharging married women,4
4100,disciplined,5
25118,discourage night work,5
7223,discrimination,4
21898,discriminatory clauses,4
19125,discriminatory legislation,5
3348,disease,4
16268,disfranchises,5
13899,dishwasher,5
26394,dismiss married women,4
21833,dismissal wage,5
26701,dismissing married women,4
21296,dismissing women,4
25778,dismissing women teachers,4
22050,dispersed love,5
22494,displacing men,4
14529,dissenting opinion,5
17564,distributive justice,5
16106,district branch,2
13806,district police,4
20752,district supreme court,2
17180,divine plan,5
17721,divorce laws,5
21576,dolls clothing,4
3196,domestic,4
20458,domestic employees,4
18382,domestic labor,4
20391,domestic nature,4
21476,domestic positions,4
16756,domestic relations,4
20898,domestic relations law,5
16067,domestic science,5
13857,domestic servants,3
14431,domestic service,4
23144,domestic service workers,3
14222,domestic work,4
14572,domestic worker,3
15088,domestic workers,4
14105,domesticity,4
3184,domestics,4
24386,domicile bill,5
15035,dominant party,4
19123,dominant race,4
20435,dominant sex,4
22583,dominican commissioner,2
19819,dominican women,3
21059,dominion parliaments,4
15316,door opens,5
25158,doris stevens chairman,2
22779,double compensation,5
23703,double earners,4
23660,double moral standard,5
20239,double nationality,5
14177,double standard,4
26130,doubleearners,4
17510,douglass high school,6
21502,douglass home,5
20235,douglass memorial,5
22920,dowager rani,1
20793,dower right,5
21424,dower rights,5
22805,dr alice hamilton,1
26274,dr anne hendry morrison,1
25286,dr elizabeth faulkner baker,1
24194,dr john r mott,1
25820,dr louise heilbron,1
24062,dr orestes ferrara,1
23224,dr parrado,1
23787,dr r r moton,1
25470,drawing maximum salaries,5
17743,dress well,5
13690,dressmaker,3
16371,dressmaking,4
23918,drink every drop,4
6186,drinking,4
15549,drinking wine,4
22726,drug adulteration,4
21064,drug chains,4
22290,drug inspection,5
16236,drug products,4
15442,drug stores,4
15133,drugs act,5
23903,dry goods boxes,4
22503,dublin congress,2
22923,duluth branch,2
16504,dutch woman,3
24880,dyer antilynching bill,5
19034,dyer bill,5
22038,e zion church,6
9798,early childhood,4
14253,early training,5
25658,earn full wages,5
17396,earned less,5
25381,earnest cooperation,5
19098,earning capacity,5
16741,earning less,5
17673,earning power,5
16576,earthly life,5
25877,east central field committee,2
24394,eastern conference committee,2
21021,eastern regional conference,2
25054,eastern shore federation,2
23299,eben griggs,1
1642,economic,4
14981,economic act,5
18180,economic action,5
20229,economic advisory committee,2
25452,economic barriers raised,4
16935,economic burden,5
21637,economic conduct,5
16289,economic conference,5
17214,economic dependence,4
20031,economic emancipation,5
20889,economic endeavor,5
16554,economic equality,5
17927,economic field,4
13909,economic freedom,5
17509,economic groups,5
15808,economic independence,5
13528,economic life,4
21942,economic necessities,4
15621,economic order,5
16030,economic position,5
15142,economic pressure,5
14828,economic progress,5
21690,economic question,4
20739,economic responsibility,5
15089,economic rights,5
13971,economic security,5
16919,economic sense,5
23170,economic slaves,4
18002,economic struggle,5
23159,economic subjugation,4
13291,economic value,5
15819,economic world,5
18963,economically independent,5
18561,economy act,5
26813,economy act repealed,5
19754,economy bill,5
22720,edith houghton hooker,1
2986,educate,5
13711,educate children,5
18860,educate consumers,5
23615,educate editors,5
22733,educate public opinion,5
14916,educate women,3
25894,educated colored woman,3
22107,educated negro,5
23891,educated negro woman,3
14919,educated women,5
640,educating,5
651,education,5
20430,education refinement,5
22526,educational attache,4
19389,educational authorities,4
17895,educational campaign,5
14008,educational development,5
17107,educational effort,5
17105,educational efforts,5
22034,educational force,5
16003,educational fund,5
18215,educational ideals,5
9422,educational institutions,5
24512,educational patronage,5
19342,educational problems,5
13872,educational reform,5
20234,educational standard,5
15622,educational systems,5
14609,educational work,5
23057,edwards plantation,4
19771,effective collaboration,5
19299,effective cooperation,5
22962,effective protector,5
17944,efficient man,4
17594,efficient service,4
15228,eight hour day,5
21263,eight hour law,5
17030,eight hours day,5
23938,eight hours law,5
16329,eighteenth amendment,5
24473,eighthour bill,5
25106,eighthour day,5
24797,eighthour law,5
24757,eighthourlaw,5
24779,eighthours day,5
17366,either parent,5
