,concept_from_alex_street,alternative_phrase,phrase_code
0,aaa program,,5
1,abbe gregoire,,1
2,abdominal muscles,,4
3,abolished,,5
4,abolished imprisonment,,5
5,abolitionists,,2
6,abortions,,4
7,absence without pay,,4
8,absolute equality,,5
9,absolute right,,5
10,abstained,,5
11,abundant proof,,5
12,abuse,,4
13,accept equality,,5
14,accident compensation,,5
15,accident compensation law,,5
16,accident study,,5
17,accumulated experience,,5
18,achieve equality,,5
19,acid test,,5
20,acme art,,5
21,acquire knowledge,,5
22,acquire property,,5
23,active campaign,,5
24,active leader,,5
25,active strike,,5
26,active work,,5
27,active worker,,5
28,active workers,,3
29,actual facts,,5
30,ada young auxiliary,,1
31,adding machine,,4
32,adding machines,,5
33,additional compensation,,5
34,additional pay extra allowance,,5
35,adequate compensation,,5
36,adequate equipment,,5
37,adequate wages,,5
38,adjusted compensation,,5
39,adjutant generals office,,2
40,administrations advocacy,,5
41,administrative department,,2
42,administrative departments,,4
43,administrative duties,,5
44,administrative officials,,2
45,admissions committee,,4
46,admit women,,5
47,adopted resolution,,5
48,adult men,,3
49,adult woman,,3
50,adult women,,3
51,adulterated,,5
52,adulterated foods drugs liquors,,4
53,adulterated products,,4
54,adults wages,,4
55,advanced radicals,,5
56,advanced stunts,,5
57,advisory opinions,,5
58,affiliated societies,,5
59,affirmative ballot,,5
60,affluence,,4
61,afford protection,,5
62,african king,,5
63,african slavery,,4
64,afroamerican,afro-american,3
65,afroamerican council,afro-american council,5
66,afroamerican federation,afro-american federation,5
67,afroamerican mother,afro-american mother,4
68,afroamerican race,afro-american race,4
69,afroamerican woman,afro-american woman,3
70,afroamerican women,afro-american women,3
71,afroamericans,afro-americans,3
72,agnes milton,,1
73,agricultural adjustment administration,agricultural adjustment ad-ministration--,4
74,agricultural adjustment program,,5
75,agricultural conservation program,,5
76,agricultural districts,,4
77,agricultural institute,,5
78,agriculture conservation conference,,5
79,aircraft divisions,,4
80,aircraft mechanics,,4
81,airplane manufacturers,air-plane manufacturers,4
82,alabama federation,,2
83,alameda county league,,2
84,albany board,,2
85,albany office,,2
86,alberta gude lynch,,1
87,alcoholic liquors,,4
88,alien child,,4
89,alien enemy,,4
90,alien husband,,5
91,alien husbands,,4
92,alien immigrant,,4
93,alien spouse,,4
94,alien visitor,,5
95,allasian womens conference,all-asian womens conference,5
96,allow poisons,,4
97,almighty god,,5
98,alva belmont house,,1
99,alva belmont house national headquarters,alva belmont house national head-quarters,2
100,amanda smith school,,5
101,amelioration,,5
102,amended act,,5
103,amendment passed,,5
104,american association,,5
105,american bankers association,,4
106,american bar association journal,,2
107,american bar convention,,5
108,american civilization,,5
109,american congress,,2
110,american delegates,,2
111,american delegation,,2
112,american economic system,,4
113,american engineering standards committee,,2
114,american families,,3
115,american feminism,,5
116,american food problem,,4
117,american heiresses,,3
118,american ideals,,5
119,american law schools,,4
120,american meat packers,,3
121,american mission school,,5
122,american mothers,,3
123,american nationality,,4
124,american naturalization,,5
125,american negro,,3
126,american negro academy,,5
127,american negro soldier,,3
128,american negroes,,3
129,american problem,,4
130,american public opinion,,5
131,american red cross society,,5
132,american section,,2
133,american woman nativeborn,american woman native-born,3
134,american women dramatists,,3
135,american women marry abroad,,4
136,american workwoman,,4
137,americanborn woman,american-born woman,4
138,americans believe,,5
139,amount paid,,5
140,anaheim school district,,4
141,ancestors,,4
142,ancient inequality,,4
143,anglosaxon civilization,anglo-saxon civilization,4
144,animal fats,,4
145,animal food,,4
146,anita pollitzer,,1
147,anna kelton wiley,,1
148,anna kusserow,,1
149,annie simms banks,,1
150,annual cash prize,,5
151,annual exercises,,5
152,annual meetings,,2
153,anticaste,anti-caste,5
154,antifeminist labor men,anti-feminist labor men,4
155,antifeminists,anti-feminists,5
156,antilynching bureau,anti-lynching bureau,5
157,antislavery crusade,anti-slavery crusade,5
158,antislavery movement,anti-slavery movement,5
159,apartment houses,,5
160,appeal made,,5
161,appellate division,,2
162,apply equally,,5
163,appointed,,5
164,appointed teacher,,5
165,appointing guardians,,5
166,appointive system,,5
167,appropriate exercises,,5
168,arbitration series,,5
169,archibald h grimke,,1
170,argentine member,,3
171,argentine woman,,3
172,arizona branch,,2
173,arizona delegation,,2
174,arizona state committee,,2
175,arkansas law,,4
176,arms conference,,4
177,army clothing,,4
178,article xv,,5
179,arts letters science industry,,4
180,asheville conference,,2
181,asian conference,,2
182,ask women,,4
183,assaults upon women,,4
184,assembly bill,,5
185,assembly chamber,,2
186,assembly labor committees,,5
187,assembly room,,4
188,assembly senate bill,,5
189,assemblyman siracusa,,4
190,assemblyman swartz,,4
191,assistant mistresses,,4
192,assistant united states district attorney,,4
193,associated charities,,5
194,associated industries,,5
195,association members,,2
196,association men,,3
197,association movement among colored men,,5
198,association work among colored men,,5
199,association workers,,4
200,assure increased production,,5
201,assyriology,,4
202,atlanta baptist seminary,,6
203,atlanta conference,,2
204,atlanta exposition,,2
205,atlanta university,,6
206,atlantic city business,,4
207,atlantic seaboard states,,4
208,atom bomb,,5
209,attack upon unemployment,,4
210,attend school,,5
211,attended conference,,5
212,attorneygeneral,attorney-general,2
213,auction block,,4
214,auctionblock,auction-block,4
215,australian commonwealth,,2
216,australian federation,,2
217,austrian ministry,,2
218,austrian parliament,,2
219,austrian womans party,,1
220,austrian women,,3
221,austrian womens movement,,5
222,authority,,4
223,authorized capital stock,,4
224,authors league,,5
225,automobile industry,auto-mobile industry,4
226,automobile trip,auto-mobile trip,5
227,auxiliary members,,5
228,average cost,,5
229,average earnings,,5
230,average expenditure,,5
231,average negro politician,,4
232,average per capita income,,5
233,average per cent,,5
234,average percentage,,5
235,average salary,,5
236,average span,,5
237,average underclothed,,4
238,average wage,,5
239,average weekly expenditure,,5
240,average weekly wage,,5
241,average white man,,4
242,average woman,,3
243,aviation engineering school,,4
244,back women,,5
245,backward races,,4
246,bacon bill,,5
247,bad hours,,4
248,bad psychology,,4
249,bakery laundry,,4
250,bakery workers,,4
251,bakeshops,bake-shops,4
252,ballot privilege,,5
253,baltimore branch,,2
254,baltimore business,,2
255,baltimore city branch,,2
256,baltimore conference,,2
257,baltimore country club,,2
258,baltimore county branch,,2
259,baltimore federation,,2
260,baltimore federationist,,2
261,baltimore league,,2
262,baltimore women,,3
263,bands playing,,5
264,bank clerks,,3
265,bank deposits,,4
266,bank loans,,5
267,bank officials,,4
268,banking company,,5
269,banner year,,5
270,bar married women,,4
271,bar women,,4
272,bargain hunting,,5
273,bargaining power,,5
274,barley malt,,4
275,barley malt hops,,4
276,baron goto,baron go-to-,1
277,basement bakeries,,4
278,basic hour day,,5
279,basic necessity,,5
280,basic right,,5
281,basic wage,,5
282,bath house,,5
283,bath palaces,,4
284,bathing suits,,4
285,battle,,4
286,bear arms,,5
287,bear witness,,5
288,become economically independent,,5
289,becomes naturalized,,5
290,becoming literature conscious,,5
291,beet fields,,4
292,beginning salary,,5
293,beginning wage,,5
294,belgian women,,3
295,belgrade university,,6
296,berne convention,,2
297,best editorial essay,,5
298,bethel church,,6
299,bethunecookman college,bethune-cookman college,6
300,better citizen,,5
301,better conditions,,5
302,better education,,5
303,better feminists,,5
304,better homes,,5
305,better qualified,,5
306,betty gram,,1
307,bible class,,4
308,bible conferences,,5
309,bible institutes,,5
310,bible study,,5
311,biblical,,4
312,big niggers,,4
313,bill regulating,,5
314,bills introduced,,5
315,bing law,,5
316,biological relation,,4
317,bipartisan civil service commission,bi-partisan civil service commission,5
318,birth control,,5
319,birth registration area,,5
320,biscuit watch,,4
321,bishop b f lee,,1
322,bitter,,4
323,black belts,,4
324,black boy,,4
325,black mammy,,4
326,black regiment,,3
327,black virgin,,4
328,blanche tyler,,1
329,blind people,,3
330,blood forming organs,,4
331,bloodless revolution,,5
332,bloody war,,4
333,board fixing wages,,5
334,board meetings,,2
335,boarding home,,5
336,body,,4
337,body politic,,5
338,bohemian history,,5
339,book peddler,,4
340,bookbinders,,3
341,bookshelves,book-shelves,5
342,born abroad,,4
343,born free,,5
344,borrow money,,5
345,boston conference,,2
346,boston papers,,2
347,box car,,4
348,box car school,,5
349,boy problem,,4
350,boyle bill,,5
351,boys new dormitory,,4
352,boys organization,,5
353,brain power,,5
354,brainworking occupations,brain-working occupations,4
355,brainworking professions,brain-working professions,4
356,branch association,,2
357,branch leagues,,2
358,brave men,,3
359,brazilian citizens,,3
360,brazilian minister,,2
361,bread line,,4
362,bread lines,,5
363,breadwinner,bread-winner,3
364,breadwinners,bread-winners,3
365,breasts,,4
366,breeding places,,4
367,british advisory group,,5
368,british chambers,,2
369,british civil service,,2
370,british custom,,4
371,british delegation,,2
372,british elections,,2
373,british empire exhibition,,2
374,british ministry,,2
375,british nation,,4
376,british proposal,,5
377,british quota,,5
378,british section,,2
379,british woman,,3
380,broad powers,,5
381,brooklyn chamber,,2
382,brooklyn rapid transit womens league,,1
383,brother olmstead,,1
384,brought suit,,5
385,bryn mawr college,,6
386,bryn mawr summer school,,5
387,bucket brigade,,4
388,building owners,,4
389,bulky foods,,4
390,bureaucratic control,,2
391,burning injustice,,4
392,burnt sugar,,4
393,business course,,5
394,business depression,,4
395,business meeting,,2
396,business meetings,,2
397,business woman,,3
398,business women,,3
399,business womens council,,5
400,business womens legislative council,,1
401,buttered bread,,4
402,button sale,,2
403,buy candy,,5
404,buy cheap candy,,4
405,buy food,,5
406,buy homes,,5
407,buying food,,5
408,buying power,,5
409,cable act,,5
410,cable bill,,5
411,cable law,,5
412,cable rooms,,5
413,calculating machines,,4
414,calendar club,,5
415,california branch,,2
416,california business,,4
417,california eighthour law,california eight-hour law,5
418,california federation,,2
419,california state federation,,2
420,california women,,3
421,california women workers,,3
422,campaign,,5
423,campaigns,,5
424,canadian representative,,2
425,cancelled checks,,4
426,candy business,,4
427,candy factories,,4
428,candy factory,,4
429,candy industry,,4
430,candy investigation,,5
431,candy manufacture,,4
432,candy manufacturer,,4
433,candy manufacturers,,4
