concept,number_of_alexander_street_docs_appeared_in
women,718
work,648
one,624
time,582
made,568
men,545
country,516
woman,479
well,470
law,456
right,456
state,454
united states,450
make,443
children,441
fact,440
said,435
would,434
home,429
held,421
given,418
members,415
part,415
world,410
national womans party,392
man,391
come,390
way,388
may,384
life,378
know,369
womans party,369
washington,365
see,362
equal rights,362
question,350
member,345
matter,339
power,331
take,331
house,329
people,325
committee,324
much,323
order,323
meeting,321
vote,318
sex,317
support,312
day,309
equality,308
number,301
president,300
give,299
husband,299
also,296
business,294
present,289
industry,285
us,284
say,284
year,283
done,283
congress,282
organization,281
case,279
many,275
position,275
believe,275
laws,275
go,272
place,269
found,268
rights,267
subject,266
wife,263
far,260
years,257
could,256
taken,256
need,256
get,255
government,254
states,252
labor,252
new york,249
mother,241
must,240
want,238
able,236
marriage,234
league,233
interest,233
conference,232
passed,231
put,231
think,231
opportunity,231
working,229
asked,228
course,225
regard,223
education,222
sent,222
group,220
long,219
bill,219
chairman,217
race,215
find,214
hope,212
secure,211
district,208
use,208
reason,205
principle,205
shall,204
america,202
report,202
name,201
even,200
action,200
city,198
purpose,198
favor,197
result,196
women shall,196
national council,195
going,195
girls,194
justice,194
honor,193
view,192
told,190
passage,190
article,189
means,189
first,188
study,188
introduced,188
employment,188
campaign,187
point,187
equal rights amendment,186
convention,185
brought,184
cause,184
history,183
freedom,182
making,181
resolution,180
father,179
constitution,178
legislation,178
representatives,177
read,177
behalf,176
age,175
party,173
amendment,173
married women,173
service,172
help,172
called,172
end,172
england,171
necessary,169
others,168
living,168
effect,168
child,167
ask,166
bring,165
thought,163
university,162
office,161
speak,161
possible,158
council,157
pay,156
hours,155
board,154
status,153
senate,151
department,150
things,150
night,149
wish,149
act,148
countries,148
nations,147
addition,147
nationality,147
always,146
call,146
charge,145
never,144
received,144
fight,144
war,143
demand,143
serve,143
still,142
used,142
good,141
family,141
feel,140
keep,140
hold,140
protection,140
came,139
program,139
went,138
conditions,137
every place subject,137
kind,136
workers,135
progress,135
words,133
beginning,133
yet,132
school,131
carried,131
object,131
idea,131
adopted,130
equal rights throughout,130
hand,129
appointed,129
meet,129
job,128
secretary,127
stand,127
discriminations,127
week,126
money,126
form,126
nation,126
opinion,126
delegates,125
spirit,124
mind,123
experience,122
live,122
movement,121
tell,121
change,121
suffrage,120
upon,119
true,119
head,119
married,117
might,117
least,117
like,116
efforts,116
letter,116
left,114
appointment,114
open,114
hands,114
allowed,113
account,113
c,112
success,112
presented,112
become,112
property,112
among,111
court,111
measure,111
spite,111
chance,111
field,111
today,110
employed,110
opposition,110
paid,108
worked,108
