concept_from_alex_street,count_unique_wiki_article_text_appeared_in,count_unique_wiki_article_title_appeared_in,count_unique_alexander_street_docs_appeared_in
£,9758525,860096,3
r,9706884,767531,2
n,7237231,1060302,58
p,6830811,741361,91
u,6827701,747856,29
l,6819017,741905,13
w,6818597,722383,17
x,6815903,720181,1
q,6806046,708145,1
k,6755699,647815,1
j,6741207,631304,1
e,6725201,661619,11
g,6647591,500145,4
f,6647171,507325,18
c,6546138,419775,112
b,6509022,371266,13
nd,5836873,314296,3
st,5806819,228380,4
end,5732270,283117,172
nt,5723734,143422,1
us,5624124,90364,284
ps,5562914,46726,1
rs,5558534,48084,3
name,5278355,52569,201
si,5230679,102693,1
references,5188364,1659,1
title,5140391,3073,27
mate,4652231,23850,4
rate,4609260,25662,16
late,4566675,57106,23
gate,4564753,40666,6
fate,4502592,10275,14
hate,4502202,10191,9
date,4475070,14682,47
ne,4093446,247375,2
n r,4079862,85032,15
site,4052336,12590,8
cy,4051587,63072,1
category,3884786,1014,1
ye,3837197,265898,6
l n,3776231,69202,1
le,3769327,237813,1
en,3757232,47442,1
n u,3709934,77721,4
web,3707681,4631,1
lust,3700360,272302,3
lost,3667128,269524,87
map,3532817,93098,1
n e,3501602,54450,2
c n,3498337,36591,1
list,3486516,266035,78
u w,3192453,75501,1
p u,3189533,74544,3
v p,3189334,75562,1
tis,3144247,19058,1
h r,3140038,58035,11
also,3123682,1484,296
way,3081726,72350,388
w l,3036636,65220,1
first,3023499,23589,188
publisher,3022771,2262,2
say,2968804,64217,284
ray,2963267,66886,2
pay,2868555,54539,156
may,2855260,65353,384
image,2804577,2654,2
vast,2799630,41334,5
past,2788327,46668,76
status,2778189,76409,153
sinks,2769485,2984,1
year,2740030,29512,283
de,2736533,214460,1
w c,2711196,40777,29
last,2708867,39585,69
c p,2695710,34989,2
c w,2691599,34683,5
lest,2558541,30163,1
e c,2539222,23630,1
c l,2534082,29052,1
rd,2530102,50529,1
tnat,2527917,7163,1
new,2504677,119549,33
sew,2495571,130425,3
wore,2490984,12591,7
pr,2434529,67679,1
b c,2425483,18242,2
mr,2370563,58200,16
one,2306949,34873,624
york,2297028,47716,2
put,2280161,23913,231
las,2245628,20871,1
ill,2170523,65719,16
see,2161106,29363,362
hr,2123460,30574,1
post,2113845,34977,26
read,2065069,27733,177
long,2057728,36394,219
ere,2038891,8008,2
peopel,2038787,20808,1
people,2036114,22803,325
three,2017892,22391,40
lead,1981644,21209,43
ran,1979867,77583,10
took,1974196,25218,91
use,1970537,6165,208
hid,1954526,6191,5
smell,1929891,9167,1
cut,1922102,8966,28
dr,1917495,229940,4
two,1917062,14616,99
united,1915875,98428,16
time,1913955,22756,582
work,1911380,10561,648
gates,1870102,46725,10
la,1867878,147170,1
zest,1862924,69752,1
caption,1846676,981,1
head,1846166,21542,119
match,1842779,13210,2
hut,1830058,17139,4
pa,1813784,115640,1
sad,1807579,13208,6
wound,1791678,16996,2
right,1788779,50584,456
mad,1788199,11129,2
worn,1779450,33098,6
sight,1776856,36997,21
history,1768792,47446,183
,1767064.0,62824.0,1.0
wave,1765235,22820,4
lad,1764819,11940,4
pan,1759212,66057,1
states,1759131,202357,252
jury,1749291,6665,42
torn,1747885,35307,2
news,1747378,11682,39
america,1738889,70905,202
tune,1736889,9721,4
june,1734027,12077,77
national,1733831,96809,48
save,1732827,20325,37
authority,1725106,4460,51
morn,1716940,45378,4
burn,1715379,37780,4
corn,1714115,37896,4
een,1712658,20331,1
horn,1711198,34266,2
july,1709449,4184,74
language,1708442,50529,13
round,1706401,21895,1
man,1706210,62939,391
vocation,1703507,3478,3
nave,1698349,27098,1
location,1692709,2105,5
born,1687772,33721,96
poultry,1686714,16341,1
wage,1685912,9155,23
march,1685380,8443,93
rates,1683549,5210,7
country,1682403,140763,516
april,1676660,3148,50
controls,1671539,6892,3
control,1671495,28960,63
shout,1668671,14959,3
seen,1660082,6953,90
west,1656726,70488,22
january,1653605,2693,77
look,1648532,27688,75
rage,1646681,13944,1
mode,1642816,32682,1
must,1640020,13813,240
october,1636034,2303,66
heve,1633612,8258,1
page,1633061,5961,12
short,1627064,20374,26
make,1623681,51483,443
september,1617827,2358,46
august,1613474,9136,51
years,1611768,23502,257
tore,1606279,14371,1
yates,1599879,4736,2
december,1595266,3152,61
deal,1590539,14549,34
sucess,1588485,6335,1
world,1585734,92115,410
male,1585543,13852,28
berths,1571473,3108,1
state,1566706,134825,454
americas,1564712,74577,22
november,1564130,1910,54
keen,1562033,4246,5
serves,1561965,55275,1
hates,1555749,6327,2
axe,1547491,17754,1
vi,1542717,91671,1
row,1530242,22383,1
awe,1529349,16605,2
age,1527949,9454,175
cook,1516739,28843,12
mo,1513063,65331,1
american,1512557,73519,15
water,1500752,29322,25
vow,1500694,20251,2
deed,1497208,16427,4
sow,1493145,35067,2
february,1493058,1699,75
dead,1490691,14486,21
lo,1486453,50164,1
port,1481193,30414,4
war,1478209,57614,143
mère,1472538,7681,1
book,1472404,21494,64
unto,1456891,3897,6
names,1444768,103688,85
united states,1425543,67913,450
youth,1421237,75539,38
ho,1420636,53427,1
yes,1419718,34433,7
go,1419530,47715,272
description,1416215,1879,4
pm,1411455,48331,9
glass,1408449,29153,4
part,1403265,14824,415
wove,1401891,36502,1
display,1401848,1640,6
yet,1400686,21043,132
university,1393052,50761,162
well,1388735,26744,470
pity,1384936,53229,11
lire,1381704,66572,1
set,1380955,20717,99
city,1376535,52189,198
song,1374570,142812,21
live,1366394,81445,122
clasp,1364345,24131,1
mong,1354978,35537,1
lack,1354241,49137,68
threw,1352289,14997,5
english,1351532,12211,18
son,1345679,70290,49
im,1342943,50963,4
wife,1342476,22206,263
class,1342091,27506,67
move,1336999,39484,30
become,1335548,3041,112
fast,1333593,32648,9
formed,1332669,4622,58
mare,1324734,23428,1
till,1324306,51703,5
known,1315048,24662,90
sound,1307630,14669,17
old,1290427,29697,21
birth,1275979,5805,52
centre,1273398,42326,4
lent,1265383,13072,1
former,1263285,7863,5
trough,1256072,13930,1
author,1253231,4229,48
south,1245920,75506,83
lay,1244744,66740,26
worth,1242559,50974,36
later,1241336,3779,47
hold,1233001,24391,140
tour,1232615,28695,16
type,1229387,11231,50
gobetween,1221071,2907,1
lift,1218528,276094,8
second,1214282,14360,30
rome,1210515,22065,9
wid,1208753,10604,2
played,1208356,12007,12
